feature_id	auprc_mean	odds_ratio	fisher_p	n_proteins
133	0.6133333563804626	inf	0.06938288441868394	5
5260	0.5523014256188816	54.40788966792511	1.2720593610131235e-47	500
6450	0.5049079358577728	inf	0.28187700150316974	2
2450	0.5	inf	0.9126436781609195	1
640	0.49055469615591896	2.4262295081967213	0.2694150333142678	36
7775	0.47376130390048127	inf	1.5366664842816126e-09	498
474	0.4659665777548165	4.105944131658727	1.0495816678419132e-10	329
14389	0.42462116128498634	4.941947385359606	1.0259664822076396e-23	326
3685	0.41197481345207915	inf	0.2056996879306124	18
8005	0.36237323041220687	12.393738337134563	6.292497025795304e-38	227
